Title,Period,Date,Culture,Medium,Dimensions,Classification,Credit Line,Accession Number
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,1 1/16 × 1 3/16 × 1/16 in. (2.7 × 3 × 0.2 cm),Vases,Gift of Elinor R. Price 1926,26.211.6
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,13/16 × 3/4 × 1/16 in. (2 × 1.8 × 0.2 cm),Vases,Gift of Elinor R. Price 1926,26.211.7
Vase fragment,Archaic,7th century B.C.,East Greek,Terracotta,7/8 × 1 3/8 × 1/8 in. (2.2 × 3.4 × 0.3 cm),Vases,Gift of Elinor R. Price 1926,26.211.8
Vase fragment,NULL-PERIOD,7th century B.C.,East Greek,Terracotta,13/16 × 13/16 × 1/8 in. (2 × 2.1 × 0.3 cm),Vases,Gift of Elinor R. Price 1926,26.211.9
Terracotta lamp in the form of an elephant's head,Hellenistic,3rd century B.C.,Greek Sicilian,Terracotta,length  7 1/8 in. (18 cm),Terracottas,Gift of Albert Gallatin 1926,26.212
Marble portrait head of the Emperor Constantine I,Late Imperial Constantinian,ca. A.D. 325–370,Roman,Marble,37 1/2 x 23 x 261/2 in.  (95.25 x 58.4 x 67.3 cm),Stone Sculpture,Bequest of Mary Clark Thompson 1923,26.229
Terracotta vase in the form of a seated silen,Late Classical,4th century B.C.,Greek Attic,Terracotta,4 7/16in. (11.3cm),Vases,Funds from various donors 1926,26.255.1tempObjectNumber: 1
Hydria,Classical,5th century B.C.,Greek,Bronze,Other: 15 1/16 in. (38.3 cm),Bronzes,Funds from various donors 1926,26.255.2
Marble head of a philosopher,Imperial,1st or 2nd century A.D.,Roman,Marble Pentelic,H. 12 13/16 in. (32.5 cm),Stone Sculpture,Funds from various donors 1926,26.269
Seal,Early Minoan III,NULL-DATE,Minoan,Steatite,Other: 7/8 x 3/8 in. (2.2 x 1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.1
Seal,Early Minoan III,NULL-DATE,Minoan,Serpentine,Other: 1/2 x 1/4 in. (1.3 x 0.6 cm),Gems,Bequest of Richard B. Seager 1926,26.31.10
Seal with hole,Early Minoan III,NULL-DATE,Minoan,Steatite,Other: 9/16 x 3/8 in. (1.5 x 0.9 cm),Gems,Bequest of Richard B. Seager 1926,26.31.100tempObjectNumber: 1
Steatite triangular prism,Early Minoan III-Middle Minoan II,ca. 2400–1750 B.C.,Minoan,Steatite,L. 1.2 cm; W. of each side 1 cm,Gems,Bequest of Richard B. Seager 1926,26.31.101
Serpentine Triangular Prism,Middle Minoan II,ca. 1800–1700 B.C.,Minoan,Serpentine,Other: 1/2 in. (1.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.102
Serpentine Triangular Prism,Middle Minoan II,ca. 1800–1700 B.C.,Minoan,Serpentine,Other: 9/16 in. (1.4 cm),Gems,Bequest of Richard B. Seager 1926,26.31.103
Seal,Middle Minoan I,ca. 2000–1800 B.C.,Minoan Crete,Serpentine (burnt),Other: 7/16 x 1/2 in. (1.1 x 1.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.104
Steatite triangular prism,Middle Minoan I-II,ca. 2200–1750 B.C.,Minoan,Steatite,L. 1.7 cm; W. of each side 1.3 cm,Gems,Bequest of Richard B. Seager 1926,26.31.105
Steatite triangular prism,Early Minoan III-Middle Minoan I,ca. 2400–1900 B.C.,Minoan,Steatite,L. 1.3 cm; W. of each side 1. 3 cm,Gems,Bequest of Richard B. Seager 1926,26.31.107
Seal,Middle Minoan I,ca. 2000–1800 B.C.,Minoan Crete,Serpentine,Other: 11/16 x 5/8 x 1/2 in. (1.7 x 1.6 x 1.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.108
Steatite pyramidal seal,Early Minoan III-Middle Minoan I,ca. 2400–1900 B.C.,Minoan,Serpentine,Base 0.8 cm x 1 cm; H. 0.9 cm,Gems,Bequest of Richard B. Seager 1926,26.31.11
Steatite signet,Middle Minoan II,ca. 1900–1750 B.C.,Minoan,Steatite,Diameter 1.4-1.5 cm,Gems,Bequest of Richard B. Seager 1926,26.31.110
Seal,Middle Minoan I,ca. 2000–1800 B.C.,Minoan Crete,Serpentine,Other: 5/16 x 7/16 x 5/16 in. (0.9 x 1.2 x 0.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.111
Steatite amygdaloid seal,Middle Minoan III–Late Minoan I,ca. 1700–1500 B.C.,Minoan,Steatite,L. 1.65 cm; W. 1.1 cm,Gems,Bequest of Richard B. Seager 1926,26.31.112
Seal amygdaloid,NULL-PERIOD,NULL-DATE,Minoan Crete,Serpentine,Other: 3/8 x 1/2 in. (0.9 x 1.3 cm),Gems,Bequest of Richard B. Seager 1926,26.31.113
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Serpentine,Other: 5/16 x 11/16 in. (0.7 x 1.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.114
Jasper triangular prism,Middle Minoan III,ca. 1750–1600 B.C.,Minoan,Jasper,L. 1.63 cm; W. of each side 0.95 cm,Gems,Bequest of Richard B. Seager 1926,26.31.115
Steatite rectangular prism,Middle Minoan II,ca. 1900–1750 B.C.,Minoan,Serpentine,L. 1.55 cm; W. of sides 0.7 cm,Gems,Bequest of Richard B. Seager 1926,26.31.116
Steatite Stamp Seal,Middle Minoan I–II,ca. 1900–1700 B.C.,Minoan,Steatite,Other: 5/8 x 7/8 in. (1.6 x 2.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.117
Steatite triangular prism,Middle Minoan II,ca. 1900–1750 B.C.,Minoan,Serpentine,L. 2.25 cm; W. of sides 1.1 cm,Gems,Bequest of Richard B. Seager 1926,26.31.118
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Quartz,Other: 5/16 x 7/16 in. (0.8 x 1.1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.119
Seal,Early Minoan III,NULL-DATE,Minoan,Serpentine,Other: 11/16 x 7/16 in. (1.7 x 1.1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.12
Steatite triangular prism,Middle Minoan II,ca. 1900–1750 B.C.,Minoan,Serpentine,L. 1.8 cm; W. of each side 1.1 cm,Gems,Bequest of Richard B. Seager 1926,26.31.120tempObjectNumber: 1
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Serpentine (burnt),Other: 5/16 x 9/16 in. (0.8 x 1.5 cm),Gems,Bequest of Richard B. Seager 1926,26.31.121
Chalcedony Triangular Prism,Middle Minoan II–III,ca. 1800–1600 B.C.,Minoan,Chalcedony,Other: 13/16 in. (2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.122
Steatite triangular prism,Early Minoan III-Middle Minoan I,ca. 2400–1900 B.C.,Minoan,Serpentine,L. 1.7 cm; W. 0.9 cm; 0.8 cm; 0.8 cm,Gems,Bequest of Richard B. Seager 1926,26.31.123
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Serpentine,Other: 3/8 x 11/16 in. (0.9 x 1.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.124
Steatite rectangular prism,Middle Minoan II,ca. 1900–1750 B.C.,Minoan,Serpentine,L. 1.9 cm; W. of each side 0.8 cm,Gems,Bequest of Richard B. Seager 1926,26.31.125
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Steatite,Other: 7/16 x 5/8 x 5/16 in. (1.1 x 1.6 x 0.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.126
Serpentine hemispheroid seal,NULL-PERIOD,ca. 1900–1750 B.C.,Minoan,Serpentine,Diameter 1.25 cm; H. 0.6 cm,Gems,Bequest of Richard B. Seager 1926,26.31.127
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Steatite,Other: 3/8 x 11/16 in. (1 x 1.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.128
Jasper triangular prism,Middle Minoan III,ca. 1750–1600 B.C.,Minoan,Jasper,L. 1.7 cm; W. of sides 0.9 cm,Gems,Bequest of Richard B. Seager 1926,26.31.129
Hemispheroid seal,Early Minoan III–Middle Minoan IA,ca. 2100–1900 B.C.,Minoan,Steatite,Other: 9/16 in. (1.4 cm),Gems,Bequest of Richard B. Seager 1926,26.31.13
Prism triangular,Middle Minoan II,ca. 1800–1700 B.C.,Minoan Crete,Steatite,Other: 3/4 x 7/16 in. (2 x 1.1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.130
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Serpentine,Other: 3/8 x 9/16 in. (1 x 1.5 cm),Gems,Bequest of Richard B. Seager 1926,26.31.131
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Serpentine,Other: 5/16 x 9/16 x 5/16 in. (0.8 x 1.4 x 0.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.132
Steatite triangular prism,Middle Minoan II,ca. 1900–1750 B.C.,Minoan,Serpentine (burnt),L. 1.75 cm; W. of each side 1 cm,Gems,Bequest of Richard B. Seager 1926,26.31.134
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Serpentine (burnt),Other: 3/8 x 3/4 in. (1 x 1.9 cm),Gems,Bequest of Richard B. Seager 1926,26.31.135
Steatite Triangular Prism,Middle Minoan II,ca. 1800–1700 B.C.,Minoan,Steatite,Other: 13/16 in. (2.1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.136
Steatite triangular prism,Middle Minoan I,ca. 2200–1900 B.C.,Minoan,Serpentine,L. 1.45 cm; W. of each face 1 cm,Gems,Bequest of Richard B. Seager 1926,26.31.137
Steatite triangular prism,Middle Minoan II,ca. 1900–1750 B.C.,Minoan,Serpentine,L. 1.7 cm; W. of each side 0.85 cm,Gems,Bequest of Richard B. Seager 1926,26.31.138
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Steatite,Other: 7/16 x 11/16 in. (1.1 x 1.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.139
Seal,Early Minoan III,NULL-DATE,Minoan,Steatite,Other: 5/8 x 3/4 in. (1.5 x 2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.14
Steatite Triangular Prism,Middle Minoan II,ca. 1800–1700 B.C.,Minoan,Steatite,Other: 3/4 in. (2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.140
Steatite triangular prism,Middle Minoan I,ca. 2200–1900 B.C.,Minoan,Serpentine,L. 1.7 cm; W. of each side 0.9 cm,Gems,Bequest of Richard B. Seager 1926,26.31.141
Steatite Triangular Prism,Middle Minoan II,ca. 1800–1700 B.C.,Minoan,Steatite,Other: 7/16 x 5/8 x 7/16 in. (1 x 1.6 x 1.1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.142
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Serpentine,Other: 5/8 x 1/4 in. (1.6 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.143
Steatite triangular prism,Middle Minoan II,ca. 1900–1750 B.C.,Minoan,Serpentine,L. 1.95 cm; W. 1.2 cm; 1.1 cm; 1.15 cm,Gems,Bequest of Richard B. Seager 1926,26.31.144
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Serpentine,Other: 1/4 x 7/16 x 1/4 in. (0.7 x 1.2 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.145
Carnelian bell-shaped stamp seal,Middle Minoan III,ca. 1750–1600 B.C.,Minoan,Carnelian,Diameter 0.95 cm; H. 1.05 cm,Gems,Bequest of Richard B. Seager 1926,26.31.147
Jasper triangular prism,Middle Minoan II–III,ca. 1900–1600 B.C.,Minoan,Carnelian agate,L. 1.7 cm; W. of sides 0.9 cm,Gems,Bequest of Richard B. Seager 1926,26.31.149
Seal conoid,Early Minoan III–Middle Minoan IA,ca. 2100–1900 B.C.,Minoan,Steatite,Other: 5/8 x 1/2 in. (1.6 x 1.3 cm),Gems,Bequest of Richard B. Seager 1926,26.31.15
Agate triangular prism,Middle Minoan II–III,ca. 1900–1600 B.C.,Minoan,Agate,L. 1.4 cm; W. of each side 1 cm,Gems,Bequest of Richard B. Seager 1926,26.31.150
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Jasper,Other: 1/4 x 11/16 in. (0.7 x 1.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.151
Steatite Triangular Prism,Middle Minoan II–III,ca. 1800–1600 B.C.,Minoan,Steatite,Other: 11/16 in. (1.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.152
Seal,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Steatite,Other: 5/16 x 1/2 in. (0.7 x 1.3 cm),Gems,Bequest of Richard B. Seager 1926,26.31.153
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Steatite,Other: 7/16 x 9/16 in. (1.1 x 1.4 cm),Gems,Bequest of Richard B. Seager 1926,26.31.154
Burnt Chalcedony Rectangular Prism,Middle Minoan II,ca. 1800–1700 B.C.,Minoan,Chalcedony burnt,Other: 5/8 in. (1.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.155
Chalcedony rectangular prism,Middle Minoan III,ca. 1750–1600 B.C.,Minoan,Chalcedony burnt,L. 2 cm; W. 0.7 cm,Gems,Bequest of Richard B. Seager 1926,26.31.156
Chalcedony rectangular prism,Middle Minoan II-III,ca. 1900–1600 B.C.,Minoan,Chalcedony,L. 1.5 cm; W. 0.65 cm,Gems,Bequest of Richard B. Seager 1926,26.31.157
Steatite Reel,Middle Minoan III–Late Minoan IA,ca. 1700–1500 B.C.,Minoan,Steatite,Other: 1/2 x 9/16 in. (1.2 x 1.4 cm),Gems,Bequest of Richard B. Seager 1926,26.31.158
Agate Rectangular Prism,Middle Minoan II,ca. 1800–1700 B.C.,Minoan,Agate,Other: 5/8 in. (1.6 cm),Gems,Bequest of Richard B. Seager 1926,26.31.159
Seal,Early Minoan III,NULL-DATE,Minoan,Steatite,Other: 1/2 x 9/16 in. (1.3 x 1.4 cm),Gems,Bequest of Richard B. Seager 1926,26.31.16
Seal lentoid,Late Minoan II–IIIA,ca. 1450–1375 B.C.,Minoan Crete,Carnelian,Other: 11/16 x 5/16 in. (1.8 x 0.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.160
Prism rectangular,Middle Minoan II,ca. 1800–1700 B.C.,Minoan Crete,Carnelian,Other: 5/8 x 1/4 in. (1.6 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.161
Jasper triangular prism,Middle Minoan II,ca. 1900–1750 B.C.,Minoan,Jasper,L. 1.8 cm; W. 1.05 cm,Gems,Bequest of Richard B. Seager 1926,26.31.162
Agate amygdaloid seal,Middle Minoan III–Late Minoan I,ca. 1700–1450 B.C.,Minoan,Agate,L. 1.91 cm; W. 1.41 cm,Gems,Bequest of Richard B. Seager 1926,26.31.164
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Jasper red,Other: 7/16 x 13/16 in. (1.1 x 2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.165
Carnelian amygdaloid seal,Middle Minoan III–Late Minoan I,ca. 1700–1450 B.C.,Minoan,Carnelian,L. 1.35 cm; W. 1.2 cm,Gems,Bequest of Richard B. Seager 1926,26.31.166
Carnelian stamp seal,Middle Minoan II-III,ca. 1900–1600 B.C.,Minoan,Carnelian,Diameter 0.9 cm; H. 0.75 cm,Gems,Bequest of Richard B. Seager 1926,26.31.167
Seal loop-handled,Middle Minoan II,ca. 1800–1700 B.C.,Minoan Crete,Hematite or jasper,Other: 9/16 x 7/16 in. (1.4 x 1.1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.168
Jasper stamp seal,Middle Minoan III,ca. 1750–1600 B.C.,Minoan,Glass,Diameter 1.14 cm; H. 0.75,Gems,Bequest of Richard B. Seager 1926,26.31.169
Agate Loop-handled Signet,Middle Minoan II,ca. 1800–1700 B.C.,Minoan,Agate,Other: 1/2 x 1/2 in. (1.3 x 1.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.170
Sapphirine chalcedony rectangular prism,Middle Minoan II-III,ca. 1900–1600 B.C.,Minoan,Chalcedony,L. 1.65 cm; W. 0.75 cm; Th. 0.65 cm,Gems,Bequest of Richard B. Seager 1926,26.31.171
Seal signet,Middle Minoan II,ca. 1800–1700 B.C.,Minoan Crete,Agate burnt,Other: 3/8 x 5/8 in. (0.9 x 1.6 cm),Gems,Bequest of Richard B. Seager 1926,26.31.172
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Rock Crystal,Other: 3/8 x 5/8 in. (0.9 x 1.6 cm),Gems,Bequest of Richard B. Seager 1926,26.31.173
Rock crystal rectangular prism,Middle Minoan II–III,ca. 1900–1600 B.C.,Minoan,Rock crystal,L. 1.6 cm; W. 0.95 cm; Thickness 0.5 cm,Gems,Bequest of Richard B. Seager 1926,26.31.174tempObjectNumber: 1
Serpentine Triangular Prism,Middle Minoan II,ca. 1800–1600 B.C.,Minoan,Serpentine,Other: 7/16 in. (1.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.175
Carnelian Carinated Amygdaloid,Middle Minoan III–Late Minoan I,ca. 1650–1500 B.C.,Minoan,Carnelian,Other: 7/8 in. (2.3 cm),Gems,Bequest of Richard B. Seager 1926,26.31.176
Carnelian Carinated Amygdaloid,Middle Minoan III–Late Minoan I,ca. 1650–1500 B.C.,Minoan,Carnelian burnt,Other: 15/16 in. (2.4 cm),Gems,Bequest of Richard B. Seager 1926,26.31.177
Sard Prism,Middle Minoan III–Late Minoan I,ca. 1650–1500 B.C.,Minoan,Sard,Other: 11/16 in. (1.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.178
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Sard-Chalcedony,Other: 7/16 x 3/4 x 7/16 in. (1.2 x 1.9 x 1.1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.179
Amulet,NULL-PERIOD,NULL-DATE,Minoan,Alabaster,Other: 5/8 x 9/16 x 3/4 in. (1.6 x 1.5 x 2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.18
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Agate,Other: 11/16 x 7/16 in. (1.8 x 1.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.180
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Agate,Other: 5/16 x 1/2 in. (0.8 x 1.3 cm),Gems,Bequest of Richard B. Seager 1926,26.31.181
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Sard,Other: 7/16 x 11/16 in. (1.1 x 1.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.182
Carnelian Prism,Middle Minoan III–Late Minoan I,ca. 1650–1500 B.C.,Minoan,Carnelian,Other: 15/16 in. (2.4 cm),Gems,Bequest of Richard B. Seager 1926,26.31.183
Carnelian Prism,Middle Minoan III–Late Minoan I,ca. 1650–1500 B.C.,Minoan,Carnelian,Other: 1/2 in. (1.3 cm),Gems,Bequest of Richard B. Seager 1926,26.31.184
Agate Triangular Prism,Middle Minoan III–Late Minoan I,ca. 1650–1500 B.C.,Minoan,Agate,Other: 1/2 in. (1.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.185
Chalcedony amygdaloid seal,Middle Minoan III–Late Minoan I,ca. 1700–1450 B.C.,Minoan,Chalcedony,L. 1.85 cm; W. 1.2 cm,Gems,Bequest of Richard B. Seager 1926,26.31.186
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Sard,Other: 1/2 x 13/16 in. (1.2 x 2.1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.187
Jasper Lentoid,Late Minoan II,ca. 1450–1400 B.C.,Minoan,Jasper,Other: 11/16 in. (1.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.188
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Steatite,Other: 1/2 x 3/16 in. (1.3 x 0.5 cm),Gems,Bequest of Richard B. Seager 1926,26.31.189
Seal,Early Minoan III,NULL-DATE,Minoan,Serpentine,Other: 9/16 x 1/2 x 5/16 in. (1.5 x 1.3 x 0.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.19
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Quartz smoky,Other: 11/16 x 5/16 in. (1.7 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.190
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Jasper black,Other: 9/16 x 1/4 in. (1.4 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.191
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Chalcedony,Other: 5/8 x 5/16 in. (1.6 x 0.8 cm),Gems,Bequest of Richard B. Seager 1926,26.31.192
Amethyst Discoid,Middle Minoan II–III,ca. 1750–1600 B.C.,Minoan,Amethyst,Diam.: 7/16 in. (1.1 cm),Gems,Bequest of Richard B. Seager 1926,26.31.193
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Glass,Other: 1/2 x 3/16 in. (1.3 x 0.5 cm),Gems,Bequest of Richard B. Seager 1926,26.31.194
Seal lentoid,Late Minoan I,ca. 1600–1450 B.C.,Minoan Crete,Steatite,Other: 1/2 x 1/4 in. (1.3 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.195
Chalcedony Lentoid,Middle Minoan III–Late Minoan I,ca. 1650–1500 B.C.,Minoan,Chalcedony burnt,Diam.: 1/2 in. (1.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.196
Steatite reel-shaped seal,Middle Minoan III,ca. 1750–1600 B.C.,Minoan,Steatite,Diameter 1.15 cm; Thickness 0.5 cm,Gems,Bequest of Richard B. Seager 1926,26.31.197
Bead,NULL-PERIOD,NULL-DATE,Minoan Crete,Rock crystal,Diameter: 1/2 x 1/4 in. (1.3 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.198
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Steatite,Other: 5/8 x 1/4 in. (1.5 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.199
Seal,Early Minoan III,NULL-DATE,Minoan,Steatite,Other: 5/8 x 5/8 in. (1.5 x 1.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.2
Seal,Early Minoan III,NULL-DATE,Minoan,Steatite,Other: 7/16 x 11/16 in. (1.2 x 1.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.20
Jasper Amygdaloid,Middle Minoan III–Late Minoan I,ca. 1650–1500 B.C.,Minoan,Jasper,Other: 7/8 in. (2.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.200
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Glass,Other: 9/16 x 3/4 x 1/4 in. (1.4 x 1.9 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.201
Jasper amygdaloid seal,Late Minoan I,ca. 1600–1450 B.C.,Minoan,Jasper,L. 1.97 cm; W. 1.5 cm,Gems,Bequest of Richard B. Seager 1926,26.31.202
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Jasper,Other: 7/8 x 5/16 in. (2.2 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.203
Marble Amygdaloid,Middle Minoan III–Late Minoan I,ca. 1650–1500 B.C.,Minoan,Marble,Other: 7/8 in. (2.2 cm),Gems,Bequest of Richard B. Seager 1926,26.31.204
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Jasper,Other: 9/16 x 3/8 x 1/4 in. (1.4 x 1 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.205
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Jasper,Other: 1/2 x 3/4 x 1/4 in. (1.2 x 1.9 x 0.6 cm),Gems,Bequest of Richard B. Seager 1926,26.31.206
Jasper Amygdaloid,NULL-PERIOD,ca. 1650–1500 B.C.,Minoan,Jasper,Other: 7/8 in. (2.3 cm),Gems,Bequest of Richard B. Seager 1926,26.31.207
Seal,NULL-PERIOD,NULL-DATE,Minoan Crete,Jasper,Other: 5/8 x 13/16 x 1/4 in. (1.5 x 2 x 0.7 cm),Gems,Bequest of Richard B. Seager 1926,26.31.208
